anyo,inicio,fin
1,20-09-1989,16-10-1989
1,20-09-1990,12-10-1990
1,04-10-1991,20-10-1991
2,06-10-1992,26-10-1992
2,08-10-1993,02-11-1993
1,21-09-1994,14-10-1994
1,23-09-1995,17-10-1995
2,23-09-1996,29-10-1996
3,23-09-1997,04-11-1997
3,25-09-1998,06-11-1998
4,28-09-1999,17-11-1999
1,26-09-2000,12-11-2000
1,17-09-2001,31-10-2001
3,26-09-2002,30-10-2002
2,11-09-2003,25-10-2003
1,18-09-2004,15-11-2004
1,05-09-2005,27-10-2005
1,04-09-2006,27-10-2006
2,27-09-2007,03-11-2007
2,01-10-2008,17-11-2008
1,09-09-2009,27-10-2009
1,20-09-2010,03-11-2010
2,10-09-2011,28-10-2011
3,12-09-2012,01-11-2012
3,25-09-2013,18-11-2013
4,10-09-2014,30-10-2014
1,07-09-2015,14-10-2015
1,22-09-2016,07-11-2016
3,08-09-2017,20-10-2017
